SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ASU PREP PILGRIM'S REST,1401 EAST JEFFERSON STREET,PHOENIX,MARICOPA,85034,NO,,CHARTER,27,88.9%,7.4%,96.3%,88.9%,7.4%,96.3%,88.9%,7.4%,96.3%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,7.4%,0.0%,7.4%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,72,86.1%,9.7%,97.2%,88.9%,9.7%,98.6%,84.7%,11.1%,95.8%,91.7%,8.3%,100.0%,90.3%,9.7%,100.0%,11.1%,0.0%,8.3%
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212,YES,RN,PUBLIC,78,91.0%,9.0%,100.0%,89.7%,10.3%,100.0%,91.0%,9.0%,100.0%,92.3%,7.7%,100.0%,93.6%,6.4%,100.0%,11.5%,0.0%,3.8%
ASU PREPARATORY ACADEMY - SOUTH PHOENIX PRIMARY,5610 S CENTRAL AVE,PHOENIX,MARICOPA,85040,YES,RN,CHARTER,25,88.0%,8.0%,100.0%,88.0%,8.0%,100.0%,92.0%,8.0%,100.0%,88.0%,8.0%,100.0%,92.0%,8.0%,100.0%,8.0%,0.0%,8.0%
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,56,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,89.3%,10.7%,100.0%,91.1%,8.9%,100.0%,14.3%,0.0%,8.9%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,88,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,98.9%,1.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,2.3%
AUGUSTUS H SHAW JR SCHOOL,123 N 13TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,72,94.4%,5.6%,100.0%,95.8%,4.2%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,97.2%,2.8%,100.0%,6.9%,0.0%,2.8%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85120,NO,,CHARTER,33,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,18.2%,0.0%,18.2%
AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,YES,RN,PUBLIC,142,91.5%,4.2%,99.3%,93.7%,2.1%,98.6%,94.4%,2.1%,98.6%,97.2%,1.4%,100.0%,100.0%,0.0%,100.0%,4.2%,0.0%,4.2%
AWAKENING SEED SCHOOL,6630 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,PRIVATE,<20,88.2%,11.8%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,88.2%,11.8%,100.0%,100.0%,0.0%,100.0%,17.6%,0.0%,0.0%
AZ COMPASS PREPARATORY SCHOOL,2020 N ARIZONA AVE,CHANDLER,MARICOPA,,NO,,CHARTER,32,84.4%,9.4%,96.9%,84.4%,9.4%,93.8%,87.5%,9.4%,96.9%,87.5%,9.4%,96.9%,90.6%,9.4%,100.0%,9.4%,0.0%,9.4%
BAGDAD ELEMENTARY SCHOOL,515 BREEZY CIR,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,38,86.8%,5.3%,100.0%,86.8%,5.3%,100.0%,86.8%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,5.3%,0.0%,5.3%
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,82,87.8%,6.1%,93.9%,92.7%,6.1%,100.0%,93.9%,6.1%,100.0%,95.1%,4.9%,100.0%,100.0%,0.0%,100.0%,6.1%,0.0%,0.0%
BARBARA B ROBEY ELEMENTARY - 85340,5340 N WIGWAM CREEK BLVD,LITCHFIELD PARK,MARICOPA,85340,YES,RN,PUBLIC,86,89.5%,1.2%,93.0%,89.5%,1.2%,93.0%,88.4%,1.2%,91.9%,97.7%,0.0%,97.7%,98.8%,0.0%,98.8%,1.2%,0.0%,1.2%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,69,88.4%,10.1%,98.6%,88.4%,10.1%,98.6%,89.9%,10.1%,100.0%,94.2%,5.8%,100.0%,95.7%,4.3%,100.0%,7.2%,0.0%,2.9%
BARCELONA ELEMENTARY SCHOOL,6530 N 44TH AVE,GLENDALE,MARICOPA,85301,YES,RN,PUBLIC,84,92.9%,2.4%,98.8%,92.9%,2.4%,98.8%,96.4%,2.4%,98.8%,96.4%,2.4%,98.8%,96.4%,2.4%,98.8%,2.4%,0.0%,2.4%
BASHA ELEMENTARY,3535 S BASHA RD,CHANDLER,MARICOPA,85248,NO,,PUBLIC,58,96.6%,3.4%,100.0%,94.8%,5.2%,100.0%,94.8%,3.4%,100.0%,94.8%,5.2%,100.0%,98.3%,1.7%,100.0%,6.9%,0.0%,3.4%
BASIS - FLAGSTAFF,1700 N GEMINI DR,FLAGSTAFF,COCONINO,86001,NO,,CHARTER,71,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,95.8%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,4.2%,1.4%
BASIS - MESA,5010 S EASTMARK PKWY,MESA,MARICOPA,85212,NO,,CHARTER,63,90.5%,3.2%,100.0%,92.1%,3.2%,100.0%,90.5%,3.2%,100.0%,95.2%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,3.2%
BASIS - ORO VALLEY PRIMARY,11129 N. ORACLE RD.,ORO VALLEY,PIMA,85737,NO,,CHARTER,96,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,0.0%
BASIS - PEORIA PRIMARY,25950 N. LAKE PLEASANT PKWY,PEORIA,MARICOPA,85383,NO,,CHARTER,132,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,95.5%,4.5%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,5.3%,0.0%,0.0%
BASIS - PHOENIX PRIMARY,11850 N 32ND ST,PHOENIX,MARICOPA,85028,NO,,CHARTER,120,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,90.8%,9.2%,100.0%,93.3%,5.8%,100.0%,92.5%,6.7%,100.0%,9.2%,1.7%,5.0%
BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,7496 E TIERRA BUENA LANE,SCOTTSDALE,MARICOPA,85260,NO,,CHARTER,91,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,6.6%,0.0%,1.1%
BASIS - TUCSON MIDDLE SCHOOL,3825 E 2ND ST,TUCSON,PIMA,85716,NO,,CHARTER,161,94.4%,5.0%,100.0%,94.4%,5.0%,100.0%,94.4%,5.0%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,5.0%,0.0%,2.5%
BASIS CHANDLER PRIMARY NORTH CAMPUS,1800 E CHANDLER BLVD,CHANDLER,MARICOPA,85225,NO,,CHARTER,109,94.5%,3.7%,98.2%,95.4%,4.6%,100.0%,96.3%,3.7%,100.0%,97.2%,1.8%,99.1%,98.2%,0.9%,100.0%,5.5%,2.8%,0.0%
BASIS CHANDLER PRIMARY SOUTH CAMPUS,4825 S ARIZONA AVENUE,CHANDLER,MARICOPA,85248,NO,,CHARTER,94,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,95.7%,4.3%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,6.4%,0.0%,0.0%
BASIS GOODYEAR,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338,NO,,CHARTER,93,87.1%,11.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,91.4%,8.6%,100.0%,92.5%,7.5%,100.0%,14.0%,0.0%,7.5%
BASIS PHOENIX CENTRAL PRIMARY,201 E INDIANOLA AVE,PHOENIX,MARICOPA,85012,NO,,CHARTER,30,80.0%,20.0%,100.0%,76.7%,23.3%,100.0%,80.0%,20.0%,100.0%,80.0%,20.0%,100.0%,80.0%,20.0%,100.0%,23.3%,0.0%,3.3%
BASIS PHOENIX SOUTH PRIMARY SCHOOL,5700 S 19TH AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,61,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,4.9%,0.0%,1.6%
BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,PRESCOTT,YAVAPAI,86301,NO,,PUBLIC,58,81.0%,19.0%,100.0%,79.3%,20.7%,100.0%,82.8%,17.2%,100.0%,86.2%,13.8%,100.0%,87.9%,12.1%,100.0%,22.4%,0.0%,5.2%
BASIS SCOTTSDALE PRIMARY,11440 N 136TH ST,SCOTTSDALE,MARICOPA,85259,NO,,CHARTER,78,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,89.7%,10.3%,100.0%,11.5%,0.0%,6.4%
BAYER PRIVATE SCHOOL,23555 N 67TH AVE,GLENDALE,MARICOPA,85310,YES,RN,PRIVATE,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,92.9%,0.0%,100.0%,0.0%,0.0%,0.0%
BEAVER CREEK SCHOOL,4810 E BEAVER CREEK RD,RIMROCK,YAVAPAI,86335,NO,,PUBLIC,33,81.8%,6.1%,87.9%,81.8%,6.1%,87.9%,81.8%,6.1%,87.9%,90.9%,6.1%,97.0%,90.9%,6.1%,97.0%,6.1%,0.0%,0.0%
BELEN SOTO ELEMENTARY SCHOOL,18601 W CAMPBELL AVE,GOODYEAR,MARICOPA,85395,YES,RN,PUBLIC,95,93.7%,5.3%,98.9%,93.7%,5.3%,98.9%,94.7%,5.3%,100.0%,93.7%,6.3%,100.0%,94.7%,5.3%,100.0%,6.3%,0.0%,5.3%
BELLA VISTA ELEMENTARY SCHOOL,801 N LENZNER AVE,SIERRA VISTA,COCHISE,85635,YES,RN,PUBLIC,38,94.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,22,90.9%,4.5%,100.0%,90.9%,9.1%,100.0%,86.4%,13.6%,100.0%,95.5%,4.5%,100.0%,90.9%,9.1%,100.0%,13.6%,0.0%,13.6%
BENCHMARK SCHOOL,4120 E ACOMA DR,PHOENIX,MARICOPA,85032,YES,RN,CHARTER,52,61.5%,15.4%,96.2%,55.8%,15.4%,94.2%,55.8%,15.4%,96.2%,78.8%,15.4%,94.2%,84.6%,15.4%,100.0%,15.4%,0.0%,15.4%
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,124,72.6%,26.6%,99.2%,71.8%,27.4%,99.2%,71.0%,28.2%,99.2%,83.1%,16.1%,99.2%,87.1%,12.1%,99.2%,29.0%,0.0%,10.5%
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,1475 SOUTH VAL VISTA DRIVE,GILBERT,MARICOPA,85296,NO,,CHARTER,96,68.8%,31.3%,100.0%,69.8%,30.2%,100.0%,68.8%,31.3%,100.0%,83.3%,16.7%,100.0%,89.6%,10.4%,100.0%,33.3%,0.0%,10.4%
BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 SOUTH POWER ROAD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,107,72.9%,27.1%,100.0%,72.0%,28.0%,100.0%,70.1%,29.9%,100.0%,82.2%,17.8%,100.0%,86.0%,14.0%,100.0%,29.9%,0.0%,12.1%
BENNETT ACADEMY - VENTURE SITE,1535 W DUNLAP AVE,PHOENIX,MARICOPA,85021,NO,,CHARTER,<20,70.6%,11.8%,82.4%,76.5%,11.8%,88.2%,70.6%,11.8%,82.4%,76.5%,11.8%,88.2%,76.5%,11.8%,88.2%,11.8%,0.0%,11.8%
BENSON PRIMARY SCHOOL,360 S PATAGONIA ST,BENSON,COCHISE,85602,NO,,PUBLIC,81,76.5%,6.2%,90.1%,77.8%,6.2%,91.4%,80.2%,6.2%,93.8%,90.1%,6.2%,100.0%,92.6%,6.2%,98.8%,7.4%,0.0%,6.2%
BERNARD BLACK ELEMENTARY,6550 S 27TH AVE,PHOENIX,MARICOPA,85041,YES,RN,PUBLIC,55,100.0%,0.0%,100.0%,74.5%,0.0%,74.5%,74.5%,0.0%,74.5%,98.2%,1.8%,100.0%,90.9%,0.0%,90.9%,1.8%,0.0%,1.8%
BICENTENNIAL SOUTH SCHOOL,7240 W COLTER ST,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,65,93.8%,0.0%,95.4%,95.4%,0.0%,96.9%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BIG DREAMS PRESCHOOL & KINDERGARTEN,28570 N EL MIRAGE RD,PEORIA ,MARICOPA,85383,NO,,PRIVATE,<20,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,12.5%,0.0%,6.3%
BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,PHOENIX,MARICOPA,85018,YES,LPN,PUBLIC,99,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,91.9%,6.1%,100.0%,93.9%,6.1%,100.0%,6.1%,0.0%,6.1%
BLACK MOUNTAIN ELEMENTARY SCHOOL - CAVE CREEK,33016 N 60TH ST,CAVE CREEK,MARICOPA,85327,NO,,PUBLIC,45,77.8%,22.2%,100.0%,75.6%,24.4%,100.0%,75.6%,24.4%,100.0%,77.8%,22.2%,100.0%,75.6%,24.4%,100.0%,24.4%,0.0%,13.3%
BLACK MOUNTAIN ELEMENTARY SCHOOL - GOLDEN VALLEY,3404 N SANTA MARIA RD,GOLDEN VALLEY,MOHAVE,86413,YES,RN,PUBLIC,40,62.5%,5.0%,67.5%,57.5%,5.0%,62.5%,60.0%,5.0%,65.0%,72.5%,5.0%,77.5%,75.0%,5.0%,80.0%,5.0%,0.0%,5.0%
BLAKE PRIMARY SCHOOL,701 S NAVAJO AVE,PARKER,LA PAZ,85344,NO,,PUBLIC,103,89.3%,8.7%,98.1%,89.3%,8.7%,98.1%,90.3%,8.7%,99.0%,91.3%,8.7%,100.0%,90.3%,8.7%,99.0%,8.7%,8.7%,8.7%
BLENMAN ELEMENTARY SCHOOL,1695 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,RN,PUBLIC,58,87.9%,0.0%,98.3%,87.9%,0.0%,98.3%,96.6%,0.0%,98.3%,94.8%,0.0%,100.0%,98.3%,0.0%,98.3%,0.0%,1.7%,0.0%
BLOOM ELEMENTARY SCHOOL,8310 E PIMA ST,TUCSON,PIMA,85715,YES,RN,PUBLIC,56,85.7%,7.1%,98.2%,85.7%,7.1%,100.0%,89.3%,7.1%,100.0%,89.3%,7.1%,100.0%,91.1%,7.1%,98.2%,7.1%,0.0%,7.1%
BLUE RIDGE ELEMENTARY SCHOOL,1200 W WHITE MOUNTAIN BLVD,LAKESIDE,NAVAJO,85929,NO,,PUBLIC,99,79.8%,15.2%,99.0%,81.8%,15.2%,99.0%,79.8%,18.2%,99.0%,82.8%,16.2%,100.0%,83.8%,16.2%,100.0%,18.2%,0.0%,14.1%
BONILLAS ELEMENTARY BASIC CURRICULUM MAGN,4757 E WINSETT BLVD,TUCSON,PIMA,85711,YES,RN,PUBLIC,68,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BOOTH-FICKETT MATH/SCIENCE K-8 MAGNET SCHOOL,450 S MONTEGO DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,<20,92.9%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,83,95.2%,0.0%,95.2%,96.4%,0.0%,96.4%,96.4%,0.0%,96.4%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BORTON PRIMARY MAGNET SCHOOL,700 E 22ND ST,TUCSON,PIMA,85713,YES,RN,PUBLIC,42,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
BOULDER CREEK ELEMENTARY - 85024,22801 N 22ND ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,74,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,97.3%,2.7%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,2.7%,0.0%,2.7%
BOULDER CREEK ELEMENTARY - 85212,8045 E PORTOBELLO AVE,MESA,MARICOPA,85212,YES,RN,PUBLIC,66,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,6.1%,0.0%,3.0%
BRAVIE T SOTO ELEMENTARY,1201 MAIN STREET,SOMERTON,YUMA,85350,NO,,PUBLIC,38,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,2.6%,2.6%,2.6%
BRET TARVER ELEMENTARY,4308 N 51ST AVE,PHOENIX,MARICOPA,85031,YES,RN,PUBLIC,79,97.5%,0.0%,97.5%,97.5%,0.0%,97.5%,94.9%,0.0%,94.9%,98.7%,0.0%,98.7%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BRIDGES ELEMENTARY SCHOOL,5205 S SOBOBA ST,GILBERT,MARICOPA,85298,YES,LPN,PUBLIC,101,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,96.0%,4.0%,100.0%,5.9%,0.0%,4.0%
BRIDGES PRESCHOOL - TEMPE,7570 S WILLOW DR,TEMPE,MARICOPA,85283,NO,,PRIVATE,<20,83.3%,0.0%,100.0%,100.0%,0.0%,100.0%,91.7%,0.0%,100.0%,91.7%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
BRIGHT BEGINNINGS SCHOOL #1 - N ANDERSEN BLVD,400 N ANDERSEN BLVD,CHANDLER,MARICOPA,85224,NO,,CHARTER,30,80.0%,20.0%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,86.7%,13.3%,100.0%,90.0%,10.0%,100.0%,20.0%,0.0%,6.7%
BROADMOR ELEMENTARY SCHOOL,311 E AEPLI DR,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,105,94.3%,4.8%,99.0%,94.3%,4.8%,99.0%,94.3%,4.8%,99.0%,93.3%,4.8%,99.0%,97.1%,2.9%,100.0%,5.7%,0.0%,4.8%
BRUNSON-LEE ELEMENTARY SCHOOL,1350 N 48TH ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,70,97.1%,1.4%,98.6%,97.1%,1.4%,98.6%,95.7%,1.4%,97.1%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
BUCKEYE PRIMARY SCHOOL,210 S 6TH ST,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,109,93.6%,4.6%,100.0%,93.6%,4.6%,100.0%,94.5%,4.6%,100.0%,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,4.6%,0.0%,4.6%
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,57,98.2%,1.8%,100.0%,96.5%,3.5%,100.0%,94.7%,5.3%,100.0%,96.5%,3.5%,100.0%,93.0%,7.0%,100.0%,5.3%,0.0%,1.8%
BURKE BASIC SCHOOL,131 E SOUTHERN AVE,MESA,MARICOPA,85210,YES,LPN,CHARTER,115,94.8%,3.5%,99.1%,94.8%,3.5%,99.1%,94.8%,3.5%,99.1%,94.8%,3.5%,99.1%,95.7%,3.5%,99.1%,3.5%,0.0%,0.0%
BUTTERFIELD ELEMENTARY SCHOOL - MARICOPA,43800 W HONEYCUTT RD,MARICOPA,PINAL,85139,YES,RN,PUBLIC,126,88.1%,10.3%,100.0%,91.3%,8.7%,100.0%,88.9%,10.3%,100.0%,94.4%,5.6%,100.0%,95.2%,4.8%,100.0%,11.1%,0.0%,4.8%
BUTTERFIELD ELEMENTARY SCHOOL - TUCSON,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,64,90.6%,1.6%,92.2%,92.2%,1.6%,93.8%,89.1%,1.6%,90.6%,95.3%,1.6%,96.9%,96.9%,1.6%,98.4%,1.6%,0.0%,1.6%
C E ROSE ELEMENTARY SCHOOL,710 W MICHIGAN DR,TUCSON,PIMA,85714,YES,RN,PUBLIC,77,98.7%,0.0%,100.0%,97.4%,0.0%,100.0%,98.7%,0.0%,100.0%,98.7%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
C I WAGGONER SCHOOL,1050 E CARVER RD,TEMPE,MARICOPA,85284,NO,,PUBLIC,63,87.3%,11.1%,100.0%,87.3%,11.1%,100.0%,87.3%,11.1%,100.0%,87.3%,11.1%,100.0%,88.9%,11.1%,100.0%,11.1%,0.0%,11.1%
C J JORGENSEN SCHOOL,1701 W ROESER RD,PHOENIX,MARICOPA,85041,YES,RN,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
C W MCGRAW ELEMENTARY SCHOOL,2345 S ARIZONA AVE,YUMA,YUMA,85364,YES,RN,PUBLIC,72,97.2%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
CACTUS VIEW ELEMENTARY SCHOOL,17602 N CENTRAL AVE,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,74,73.0%,10.8%,100.0%,89.2%,10.8%,100.0%,77.0%,10.8%,100.0%,82.4%,10.8%,100.0%,86.5%,10.8%,97.3%,10.8%,10.8%,10.8%
CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,63,92.1%,1.6%,100.0%,98.4%,0.0%,100.0%,98.4%,0.0%,100.0%,96.8%,3.2%,100.0%,100.0%,0.0%,100.0%,3.2%,0.0%,0.0%
CALABASAS SCHOOL,131 CAMINO MARICOPA,RIO RICO,SANTA CRUZ,85648,NO,,PUBLIC,72,94.4%,4.2%,100.0%,94.4%,4.2%,100.0%,93.1%,5.6%,100.0%,95.8%,2.8%,100.0%,97.2%,2.8%,100.0%,5.6%,0.0%,2.8%
CALIBRE ACADEMY SURPRISE,15688 W ACOMA DR,SURPRISE,MARICOPA,85379,NO,,CHARTER,73,86.3%,12.3%,100.0%,86.3%,12.3%,100.0%,79.5%,12.3%,93.2%,84.9%,12.3%,98.6%,86.3%,12.3%,98.6%,12.3%,0.0%,12.3%
CALVARY CHAPEL CHRISTIAN SCHOOL,8725 E SPEEDWAY BLVD,TUCSON,PIMA,85710,NO,,PRIVATE,22,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,95.5%,4.5%,100.0%,90.9%,9.1%,100.0%,9.1%,0.0%,9.1%
CALVARY CHRISTIAN ACADEMY,1605 S MCCULLOCH BLVD,LAKE HAVASU CITY,MOHAVE,86406,NO,,PRIVATE,33,75.8%,24.2%,100.0%,78.8%,21.2%,100.0%,72.7%,27.3%,100.0%,87.9%,12.1%,100.0%,78.8%,21.2%,100.0%,30.3%,0.0%,12.1%
CALVARY NORTH PRESCHOOL,14201 N 32ND ST,PHOENIX,MARICOPA,85032,NO,,PRIVATE,<20,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,54.5%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,9.1%,0.0%,9.1%
CAMBRIDGE ACADEMY - MESA CAMPUS,9412 E BROWN RD,MESA,MARICOPA,85207,NO,,CHARTER,47,78.7%,17.0%,97.9%,78.7%,17.0%,97.9%,76.6%,17.0%,95.7%,83.0%,12.8%,97.9%,83.0%,14.9%,97.9%,17.0%,0.0%,14.9%
CAMELBACK ACADEMY,7634 W CAMELBACK RD,GLENDALE,MARICOPA,85303,YES,LPN,CHARTER,68,91.2%,2.9%,95.6%,92.6%,2.9%,97.1%,91.2%,2.9%,95.6%,94.1%,1.5%,95.6%,95.6%,2.9%,98.5%,2.9%,0.0%,1.5%
CAMELBACK DESERT SCHOOL,9606 E KALIL DR,SCOTTSDALE,MARICOPA,85260,NO,,PRIVATE,<20,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,0.0%,0.0%,0.0%
CAMP VERDE ELEMENTARY SCHOOL,200 CAMP LINCOLN RD,CAMP VERDE,YAVAPAI,86322,YES,RN,PUBLIC,96,78.1%,10.4%,88.5%,79.2%,10.4%,89.6%,79.2%,10.4%,89.6%,89.6%,8.3%,97.9%,85.4%,10.4%,95.8%,11.5%,0.0%,8.3%
CAMP VERDE UNITED CHRISTIAN SCHOOL,903 W FINNIE FLAT RD,CAMP VERDE,YAVAPAI,86322,NO,,PRIVATE,22,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,0.0%,27.3%,0.0%
CAMPO BELLO ELEMENTARY SCHOOL,2625 E GROVES AVE,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,76,88.2%,6.6%,94.7%,93.4%,5.3%,98.7%,84.2%,7.9%,92.1%,90.8%,6.6%,97.4%,93.4%,6.6%,100.0%,9.2%,0.0%,5.3%
